1002,1237069
12413,149909
12603,149932
12603,150208
1304109,1257284
1304122,1257171
1304122,1257220
1304122,1257243
1304122,1257545
1304122,1257824
1304125,1249740
1304135,1227269
1304142,1255064
1304142,1257702
1304142,1258442
1304142,1261875
1304144,1248481
1304163,1255150
1304223,1013931
1304223,1231756
1304225,1014105
1304244,1223197
1304266,10115
1304266,1236993
1304266,1237050
1304266,1237069
1304303,191401
1304310,166867
1304329,10115
1304349,1236855
1304352,1010916
1304352,1013131
1304373,1009928
1304510,1231216
1304606,1014105
1304627,1007048
1304627,1013688
1305301,1443331
1305301,1504240
1305701,1456241
1305704,1432921
1305708,1482044
1305905,1444923
1306101,1012201
1306101,1243209
1306101,1432543
1306101,1438502
1306101,1454453
1306101,1455191
1306101,1456740
1306101,1458816
1306101,1472254
1306804,1273431
1306816,1470019
1306816,1470503
1306816,1471633
1306816,1473454
1306821,1273431
1306825,1544391
1307119,1422555
1307119,1477680
1307119,1492330
1307120,1318370
1307120,1430104
1307120,1462477
1307202,1503995
1307204,1431580
1307204,1446995
1307204,1463760
1307204,1470207
1307204,170934
1307305,1467079
1307401,191390
1307501,1466446
1307502,1273431
1307503,1273431
1307504,1273431
1307518,1467862
1307518,1502547
1307711,1471289
1308206,1461063
1308206,1484585
1308206,1511017
1308206,1511127
1308206,1512312
1308206,1514910
1308206,1549367
1308402,1273431
1308411,1491426
1308901,1492858
1309002,1488517
1309002,1489899
1309012,1467862
1309012,1498431
1309012,1498787
1309012,1498812
1309012,1502547
1309015,1499520
1309015,1499634
1309015,1514288
1309017,1453972
1309017,1499864
1309023,1500843
1309102,1502733
1309102,1502886
1309102,1503159
1309102,1503541
1309102,1504120
1309102,1504141
1309102,1504185
1309211,1457125
1309218,1504815
1309302,1505556
1309302,1508580
1309307,1513870
1309307,1514177
1309310,1505556
1309343,1503995
1310004,1534230
1310205,1540115
1310215,1533675
1310215,1539181
14637,153025
14637,169535
15015,169499
15101,165835
15101,166426
15101,168846
15101,169535
15101,173250
15101,173432
15102,1359604
15102,172912
15102,173065
15102,173150
15102,173204
15102,173210
15102,173239
15102,173299
15102,173346
15102,173420
15102,173810
15102,173878
15106,173040
15107,171195
15201,172276
15205,169499
15302,1001208
15302,170623
15302,191483
1804,1501729
1804,1504326
1804,152807
2802,1450881
2802,1455078
2903,1428262
3303,10144
3304,10144
3305,10144
3307,10144
3308,10144
3309,10144
3311,10144
3505,1427446
3701,10144
3702,10144
3703,10144
3704,10144
3705,10144
3706,10144
3707,10144
3905,1416660
3905,1430401
4702,1431580
4702,1435502
4702,1446995
5101,1475820
5109,10144
